id,name
2485,1/3 LB** Bacon Cheese Thickburger®
2486,1/3 LB** Cheeseburger Thickburger®
2487,1/3 LB** Frisco Thickburger®
2488,1/3 LB** Low Carb Thickburger®
2489,1/3 LB** Mushroom & Swiss Thickburger®
2490,1/3 LB** Original Thickburger®
2491,2/3 LB** Double Thickburger®
2492,2/3 LB** Monster Thickburger®
2493,3 Piece Hand Breaded Chicken Tenders™
2494,5 Piece Hand Breaded Chicken Tenders™
2495,Apple Turnover (without Cinnamon Sugar Topping)
2496,"Bacon, Egg & Cheese Biscuit"
2497,Beer Battered Onion Rings
2498,Big Country® Breakfast Platter – Bacon*
2499,Big Hot Ham ‘N’ Cheese™
2500,Big Roast Beef™
2501,Biscuit ‘N’ Gravy™
2502,Charbroiled BBQ Chicken Sandwich
2503,Charbroiled Chicken Club™ Sandwich
2504,Chicken Fillet Biscuit
2505,Chocolate Chip Cookie
2506,Chocolate Chip Cookie – Fresh Baked
2507,Cinnamon ‘N’ Raisin™ Biscuit
2508,Cole Slaw (small = 1 serving)
2509,Country Fried Steak Biscuit
2510,Country Ham Biscuit
2511,Crispy Curls™ – Large
2512,Crispy Curls™ – Medium
2513,Crispy Curls™ – Small
2514,Double Cheeseburger
2515,Fish Supreme Sandwich
2516,Fried Chicken Breast
2517,Fried Chicken Leg
2518,Fried Chicken Thigh
2519,Fried Chicken Wing
2520,Frisco Breakfast Sandwich®
2521,Grits
2522,"Ham, Egg & Cheese Biscuit"
2523,Hand Breaded Chicken Fillet™ Sandwich
2524,Hand-Scooped Ice Cream Malt™†
2525,Hand-Scooped Ice Cream Shake™†
2526,Hash Rounds® – Large
2527,Hash Rounds® – Medium
2528,Hash Rounds® – Small
2529,Hot Ham ‘N’ Cheese™
2530,Jelly Biscuit
2531,Jumbo Chili Dog
2532,Kids Meal – Cheeseburger
2533,Kids Meal – Chicken Tenders
2534,Kids Meal – Hamburger
2535,Little Thick Cheeseburger
2536,Little Thickburger®
2537,Loaded Breakfast Burrito
2538,Loaded Omelet Biscuit
2539,Low Carb Breakfast Bowl®
2540,Low Carb Charbroiled Chicken Club™ Sandwich
2541,Made from Scratch Biscuit™
2542,Mashed Potatoes (small = 1 serving)
2543,Monster Biscuit®
2544,Natural-Cut French Fries – Kids
2545,Natural-Cut French Fries – Large
2546,Natural-Cut French Fries – Medium
2547,Natural-Cut French Fries – Small
2548,Original Turkey Burger
2549,Pancakes* (3)
2550,Peach Cobbler (small)
2551,Regular Roast Beef Sandwich
2552,Sausage & Egg Biscuit
2553,Sausage Biscuit
2554,Side Salad (no dressing)
2555,Single Scoop Ice Cream Bowl†
2556,Single Scoop Ice Cream Cone†
2557,Small Cheeseburger
2558,Small Hamburger
2559,Smoked Sausage Biscuit
2560,Spicy Chicken Sandwich
2561,Sunrise Croissant® with Ham
2562,The Six Dollar Thickburger®
2563,(3) Chocolate Chip Pancakes
2564,(3) CINN-A-STACK® Pancakes
2565,(3) Cinnamon Apple Pancakes
2566,(3) Double Blueberry Pancakes
2567,(3) Harvest Grain ‘N Nut® Pancakes
2568,(3) New York Cheesecake Pancakes
2569,(3) Original Buttermilk Pancakes
2570,(3) Strawberry Banana Pancakes
2571,(3) Strawberry Pancakes
2572,1/2 Double BLT Sandwich
2573,1/2 Pot Roast Melt Sandwich
2574,1/2 Turkey Sandwich
2575,Add (1) Country Style Ham Slice
2576,Add (1) Portuguese Sausage Link
2577,Add (2) Canadian Style Bacon Slices
2578,Add (2) Pork Chops
2579,Add (2) Pork Sausage Patties
2580,Add (2) Smoked Sausage Links
2581,Add (2) Taylor Ham® Slices
2582,Add (3) Buttermilk Pancakes
2583,Add (4) Bacon Strips
2584,Add (4) Pork Sausage Links
2585,Add (4) Turkey Sausage Links
2586,Add Biscuits with Country Gravy and (4) Pork Sausage Links
2587,Add Biscuits with Sausage Gravy & (4) Pork Sausage Links
2588,Add Blueberry Compote w/Whipped Topping
2589,Add Cinnamon Apple Compote w/Whipped Topping
2590,Add Corn Tortillas
2591,Add Corned Beef Hash
2592,Add Country/Chicken Fried Steak & Country Gravy
2593,Add Country/Chicken Fried Steak & Sausage Gravy
2594,Add Flour Tortillas
2595,Add Grilled Ham
2596,Add Ham Steak
2597,Add Hot Fudge
2598,Add Hot Fudge
2599,"Add Ice Cream, Chocolate, (1) scoop"
2600,"Add Ice Cream, Chocolate, (1) scoop"
2601,"Add Ice Cream, Strawberry, (1) scoop"
2602,"Add Ice Cream, Strawberry, (1) scoop"
2603,"Add Ice Cream, Vanilla, (1) scoop"
