id,calories,carbs,fat
4068,450,45.0,20
4069,260,29.0,11
4070,1160,106.0,57
4071,850,77.0,42
4072,540,49.0,27
4073,250,25.0,10
4074,500,68.0,24
4075,990,98.0,42
4076,730,71.0,31
4077,470,45.0,20
4078,1029,69.0,59
4079,202,31.0,0
4080,350,39.0,0
4081,1315,60.0,98
4082,812,64.0,44
4083,1117,83.0,67
4084,726,40.0,37
4085,381,40.0,17
4086,353,66.0,0
4087,376,49.0,18
4088,686,52.0,33
4089,1001,70.0,57
4090,763,56.0,44
4091,671,55.0,30
4092,1696,100.0,121
4093,931,54.0,60
4094,851,69.0,43
4095,829,53.0,43
4096,295,36.0,12
4097,420,42.0,22
4098,260,43.0,0
4099,152,0.0,4
4100,372,19.0,22
4101,568,33.0,26
4102,676,52.0,29
4103,414,32.0,20
4104,207,16.0,10
4105,1370,109.0,88
4106,695,50.0,43
4107,347,25.0,22
4108,1440,139.0,84
4109,471,73.0,18
4110,378,59.0,15
4111,509,83.0,18
4112,437,71.0,16
4113,1230,91.0,73
4114,410,28.0,25
4115,479,66.0,24
4116,240,40.0,0
4117,471,73.0,18
4118,378,59.0,15
4119,666,99.0,18
4120,271,33.0,15
4121,586,83.0,27
4122,426,62.0,18
4123,334,48.0,15
4124,414,60.0,18
4125,323,45.0,15
4126,1452,100.0,92
4127,1067,69.0,70
4128,252,23.0,18
4129,1117,101.0,60
4130,608,62.0,29
4131,912,70.0,54
4132,1450,86.0,97
4133,360,47.0,0
4134,579,24.0,36
4135,720,24.0,38
4136,280,31.0,0
4137,126,32.0,0
4138,68,17.0,0
4139,508,45.0,25
4140,254,22.0,13
4141,479,74.0,13
4142,169,18.0,0
4143,390,74.0,0
4144,274,45.0,0
4145,463,67.0,0
4146,174,20.0,0
4147,203,25.0,0
